,description,size,specificity,phi_UB,AUC_UB,sensitivity,tn,F1,sensitivity_UB,specificity_UB,ConfusionMatrix,phi,precision,AUC,pp,sensitivity_LB,tp,specificity_LB,AUC_LB,p,fp,recall,pn,phi_LB,n,fn,degree,mean_area,mean_compactness,mean_concave_points,mean_concavity,mean_fractal_dimension,mean_perimeter,mean_radius,mean_smoothness,mean_symmetry,mean_texture,specificity_CI_diff,sensitivity_CI_diff,phi_CI_diff,AUC_CI_diff,sensitivity_CI_diff_impact,specificity_CI_diff_impact,sort_on_sensitivity,sort_on_specificity,sort_on_balanced,sort_on_sensitivity_impact,sort_on_specificity_impact
10,mean_area:q60-80  mean_compactness:q80-100  mean_concavity:q80-100,29,0.0,0.0,,1.0,0,0.9824561403508771,1.0,0.975,True,0.0,0.9655172413793104,,29,0.8765638814997305,28,0.0,,28,1,1.0,0,0.0,1,0,3,q60-80,q80-100,,q80-100,,,,,,,-1.0,-0.9373537472484187,,,0,0,858,643,919,,
11,mean_area:q60-80  mean_compactness:q60-80  mean_concavity:q60-80,20,0.8333333333333334,1.0,1.0,0.9285714285714286,5,0.9285714285714286,0.9981932193408724,0.9957892554855104,True,0.7619047619047619,0.9285714285714286,0.8809523809523809,14,0.6613155100681788,13,0.3587654210025136,0.7032542737866427,14,1,0.9285714285714286,6,0.33333796842188596,6,1,3,q60-80,q60-80,,q60-80,,,,,,,-0.8061630979042156,-0.8920565223036923,-0.7628868914724114,-0.9018660866650547,0,0,1152,1070,1460,,
12,mean_area:q80-100  mean_compactness:q60-80  mean_fractal_dimension:q00-20,20,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,20,0.8315665290169145,20,,,20,0,1.0,0,0.0,0,0,3,q80-100,q60-80,,,q00-20,,,,,,,-0.9564465677683354,,,0,0,1281,1437,1342,,
13,mean_area:q60-80  mean_compactness:q80-100  mean_fractal_dimension:q80-100,20,0.3333333333333333,1.0,0.9933273307566755,1.0,1,0.9444444444444444,1.0,0.9057006759492866,True,0.5461186812727502,0.8947368421052632,0.6666666666666667,19,0.8049356770312616,17,0.008403758659612647,0.34000600257665753,17,2,1.0,1,0.0,3,0,3,q60-80,q80-100,,,q80-100,,,,,,-0.9340438747881883,-1.0,-1.0,-0.8054593376610557,0,0,1249,1043,1403,,
14,mean_area:q80-100  mean_compactness:q80-100  mean_perimeter:q80-100,47,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,47,0.9245142663089414,47,,,47,0,1.0,0,0.0,0,0,3,q80-100,q80-100,,,,q80-100,,,,,,-0.9799571618397402,,,0,0,661,820,723,,
15,mean_area:q80-100  mean_compactness:q60-80  mean_perimeter:q80-100,38,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,38,0.9074872385841217,38,,,38,0,1.0,0,0.0,0,0,3,q80-100,q60-80,,,,q80-100,,,,,,-1.0,,,0,0,717,882,783,,
16,mean_area:q00-20  mean_compactness:q20-40  mean_perimeter:q00-20,28,1.0,0.0,,,28,,,1.0,True,0.0,,,0,,0,0.8765638814997305,,0,0,,28,0.0,28,0,3,q00-20,q20-40,,,,q00-20,,,,,-1.0,,,,0,0,1118,1009,1025,,
17,mean_area:q00-20  mean_compactness:q40-60  mean_perimeter:q00-20,20,1.0,0.0,,,20,,,1.0,True,0.0,,,0,,0,0.8315665290169145,,0,0,,20,0.0,20,0,3,q00-20,q40-60,,,,q00-20,,,,,-1.0,,,,0,0,1523,1412,1428,,
18,mean_area:q00-20  mean_compactness:q00-20  mean_perimeter:q00-20,41,1.0,0.0,,,41,,,1.0,True,0.0,,,0,,0,0.9139561637059667,,0,0,,41,0.0,41,0,3,q00-20,q00-20,,,,q00-20,,,,,-1.0,,,,0,0,880,775,783,,
19,mean_area:q20-40  mean_compactness:q20-40  mean_perimeter:q20-40,31,1.0,0.0,,,31,,,1.0,True,0.0,,,0,,0,0.88781125307763,,0,0,,31,0.0,31,0,3,q20-40,q20-40,,,,q20-40,,,,,-0.9705176647955979,,,,0,0,1002,888,903,,
20,mean_area:q20-40  mean_compactness:q40-60  mean_perimeter:q20-40,28,1.0,0.0,,,28,,,1.0,True,0.0,,,0,,0,0.8765638814997305,,0,0,,28,0.0,28,0,3,q20-40,q40-60,,,,q20-40,,,,,-1.0,,,,0,0,1126,1009,1025,,
21,mean_area:q20-40  mean_compactness:q00-20  mean_perimeter:q20-40,29,1.0,0.0,,0.0,28,,0.975,1.0,True,0.0,,,0,0.0,0,0.8765638814997305,,1,0,0.0,29,0.0,28,1,3,q20-40,q00-20,,,,q20-40,,,,,-0.9088810332457521,-1.0,,,0,0,637,863,879,,
22,mean_area:q40-60  mean_compactness:q20-40  mean_perimeter:q40-60,30,1.0,1.0,0.9933273307566757,0.3333333333333333,27,0.5,0.9057006759492866,1.0,True,0.5570860145311556,1.0,0.6666666666666666,1,0.008403758659612647,1,0.8722971323845661,0.34000600257665764,3,0,0.3333333333333333,29,0.0,27,2,3,q40-60,q20-40,,,,q40-60,,,,,-1.0,-1.0,-1.0,-1.0,0,0,608,817,938,,
23,mean_area:q40-60  mean_compactness:q40-60  mean_perimeter:q40-60,22,1.0,1.0,1.0,0.5,20,0.6666666666666666,0.987420882906321,1.0,True,0.6900655593423543,1.0,0.75,1,0.01257911709367899,1,0.8315665290169145,0.2600090038649865,2,0,0.5,21,0.0,20,1,3,q40-60,q40-60,,,,q40-60,,,,,-1.0,-1.0,-1.0,-1.0,0,0,987,1188,1346,,
24,mean_area:q40-60  mean_compactness:q00-20  mean_perimeter:q40-60,23,1.0,0.0,,,23,,,1.0,True,0.0,,,0,,0,0.8518148710847749,,0,0,,23,0.0,23,0,3,q40-60,q00-20,,,,q40-60,,,,,-0.8617792389173626,,,,0,0,1356,1234,1252,,
25,mean_area:q60-80  mean_compactness:q80-100  mean_perimeter:q60-80,33,0.6,1.0,1.0,1.0,3,0.9655172413793104,1.0,0.9472550494736843,True,0.7483314773547882,0.9333333333333333,0.8,30,0.8765638814997305,28,0.14663279963467257,0.5599544161822347,28,2,1.0,3,0.0,5,0,3,q60-80,q80-100,,,,q60-80,,,,,-1.0,-1.4013591087104962,-1.0,-1.000000000000001,0,0,728,537,957,,
26,mean_area:q60-80  mean_compactness:q60-80  mean_perimeter:q60-80,26,0.9,1.0,1.0,0.9375,9,0.9375,0.9984188882772308,0.9974714214555375,True,0.8375,0.9375,0.9187500000000001,16,0.697679261565439,15,0.5549838829718046,0.8031858546896167,16,1,0.9375,10,0.579123061058726,10,1,3,q60-80,q60-80,,,,q60-80,,,,,-1.0,-1.1489650720934408,-1.037414662098722,-1.1623926209968845,0,0,927,860,1251,,
27,mean_area:q60-80  mean_compactness:q40-60  mean_perimeter:q60-80,24,0.7692307692307693,0.9419030029806548,0.9879676833205159,0.9090909090909091,10,0.8333333333333333,0.9977010277861846,0.9496189265086185,True,0.6783216783216783,0.7692307692307693,0.8391608391608392,13,0.5872200830116173,10,0.46186846076595905,0.6903539950011627,11,3,0.9090909090909091,11,0.4826253771828798,13,1,3,q60-80,q40-60,,,,q60-80,,,,,-1.0,-1.0,-1.1339734100674141,-1.0,0,0,988,902,1268,,
28,mean_area:q80-100  mean_compactness:q80-100  mean_radius:q80-100,47,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,47,0.9245142663089414,47,,,47,0,1.0,0,0.0,0,0,3,q80-100,q80-100,,,,,q80-100,,,,,-0.9799571618397402,,,0,0,649,819,711,,
29,mean_area:q80-100  mean_compactness:q60-80  mean_radius:q80-100,39,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,39,0.9097488990396657,39,,,39,0,1.0,0,0.0,0,0,3,q80-100,q60-80,,,,,q80-100,,,,,-1.0,,,0,0,723,872,762,,
30,mean_area:q00-20  mean_compactness:q20-40  mean_radius:q00-20,28,1.0,0.0,,,28,,,1.0,True,0.0,,,0,,0,0.8765638814997305,,0,0,,28,0.0,28,0,3,q00-20,q20-40,,,,,q00-20,,,,-1.0,,,,0,0,1136,1012,1028,,
31,mean_area:q00-20  mean_compactness:q40-60  mean_radius:q00-20,20,1.0,0.0,,,20,,,1.0,True,0.0,,,0,,0,0.8315665290169145,,0,0,,20,0.0,20,0,3,q00-20,q40-60,,,,,q00-20,,,,-1.0,,,,0,0,1542,1416,1432,,
32,mean_area:q00-20  mean_compactness:q00-20  mean_radius:q00-20,40,1.0,0.0,,,40,,,1.0,True,0.0,,,0,,0,0.9119026971211966,,0,0,,40,0.0,40,0,3,q00-20,q00-20,,,,,q00-20,,,,-0.9766909256280525,,,,0,0,908,788,820,,
33,mean_area:q20-40  mean_compactness:q20-40  mean_radius:q20-40,33,1.0,0.0,,,33,,,1.0,True,0.0,,,0,,0,0.8942371899254208,,0,0,,33,0.0,33,0,3,q20-40,q20-40,,,,,q20-40,,,,-1.0,,,,0,0,977,866,890,,
34,mean_area:q20-40  mean_compactness:q40-60  mean_radius:q20-40,28,1.0,0.0,,,28,,,1.0,True,0.0,,,0,,0,0.8765638814997305,,0,0,,28,0.0,28,0,3,q20-40,q40-60,,,,,q20-40,,,,-1.0,,,,0,0,1131,1020,1068,,
35,mean_area:q20-40  mean_compactness:q00-20  mean_radius:q20-40,30,1.0,0.0,,0.0,29,,0.975,1.0,True,0.0,,,0,0.0,0,0.8805551309302788,,1,0,0.0,30,0.0,29,1,3,q20-40,q00-20,,,,,q20-40,,,,-0.9392512863560871,-1.0,,,0,0,601,837,860,,
36,mean_area:q40-60  mean_compactness:q20-40  mean_radius:q40-60,31,1.0,1.0,0.9933273307566757,0.3333333333333333,28,0.5,0.9057006759492866,1.0,True,0.5577733510227171,1.0,0.6666666666666666,1,0.008403758659612647,1,0.8765638814997305,0.34000600257665775,3,0,0.3333333333333333,30,0.0,28,2,3,q40-60,q20-40,,,,,q40-60,,,,-1.0,-1.0,-1.0,-1.0,0,0,569,813,904,,
37,mean_area:q40-60  mean_compactness:q40-60  mean_radius:q40-60,22,1.0,1.0,1.0,0.5,20,0.6666666666666666,0.987420882906321,1.0,True,0.6900655593423543,1.0,0.75,1,0.01257911709367899,1,0.8315665290169145,0.2600090038649865,2,0,0.5,21,0.0,20,1,3,q40-60,q40-60,,,,,q40-60,,,,-1.0,-1.0,-1.0,-1.0,0,0,997,1215,1340,,
38,mean_area:q40-60  mean_compactness:q00-20  mean_radius:q40-60,27,1.0,0.0,,0.0,26,,0.975,1.0,True,0.0,,,0,0.0,0,0.8677253955022459,,1,0,0.0,27,0.0,26,1,3,q40-60,q00-20,,,,,q40-60,,,,-0.9654375312655138,-1.0,,,0,0,724,973,1004,,
39,mean_area:q60-80  mean_compactness:q80-100  mean_radius:q60-80,35,0.6,1.0,1.0,1.0,3,0.967741935483871,1.0,0.9472550494736843,True,0.75,0.9375,0.8,32,0.8842966917779725,30,0.14663279963467257,0.5599544161822343,30,2,1.0,3,0.4882590840519967,5,0,3,q60-80,q80-100,,,,,q60-80,,,,-1.0,-1.452046554635433,-1.9541138275947578,-1.0,0,0,731,494,917,,
40,mean_area:q60-80  mean_compactness:q60-80  mean_radius:q60-80,26,0.9,1.0,1.0,0.9375,9,0.9375,0.9984188882772308,0.9974714214555375,True,0.8375,0.9375,0.9187500000000001,16,0.697679261565439,15,0.5549838829718046,0.8031858546896167,16,1,0.9375,10,0.69244671476581,10,1,3,q60-80,q60-80,,,,,q60-80,,,,-1.0,-1.0,-1.3711668213308181,-1.0,0,0,925,856,1252,,
41,mean_area:q60-80  mean_compactness:q40-60  mean_radius:q60-80,24,0.7692307692307693,0.9198662110077999,0.9879676833205159,0.9090909090909091,10,0.8333333333333333,0.9977010277861846,0.9496189265086185,True,0.6783216783216783,0.7692307692307693,0.8391608391608392,13,0.5872200830116173,10,0.46186846076595905,0.6903539950011627,11,3,0.9090909090909091,11,0.45568837176573296,13,1,3,q60-80,q40-60,,,,,q60-80,,,,-1.0,-1.0,-1.0745274361549308,-1.0,0,0,990,907,1273,,
42,mean_area:q80-100  mean_compactness:q80-100  mean_smoothness:q80-100,24,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,24,0.8575264022774187,24,,,24,0,1.0,0,0.0,0,0,3,q80-100,q80-100,,,,,,q80-100,,,,-0.8963265451055127,,,0,0,1156,1283,1218,,
43,mean_area:q00-20  mean_compactness:q00-20  mean_smoothness:q00-20,20,1.0,0.0,,,20,,,1.0,True,0.0,,,0,,0,0.8315665290169145,,0,0,,20,0.0,20,0,3,q00-20,q00-20,,,,,,q00-20,,,-0.7328479178147748,,,,0,0,1538,1441,1471,,
44,mean_area:q40-60  mean_compactness:q00-20  mean_smoothness:q00-20,21,1.0,0.0,,,21,,,1.0,True,0.0,,,0,,0,0.8389023847809204,,0,0,,21,0.0,21,0,3,q40-60,q00-20,,,,,,q00-20,,,-0.7662194026423447,,,,0,0,1483,1384,1414,,
45,mean_area:q80-100  mean_compactness:q80-100  mean_symmetry:q80-100,21,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,21,0.8389023847809204,21,,,21,0,1.0,0,0.0,0,0,3,q80-100,q80-100,,,,,,,q80-100,,,-0.7182186282812467,,,0,0,1282,1412,1343,,
46,mean_area:q80-100  mean_compactness:q80-100  mean_texture:q80-100,22,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,22,0.8456274871844254,22,,,22,0,1.0,0,0.0,0,0,3,q80-100,q80-100,,,,,,,,q80-100,,-0.5706799822844837,,,0,0,1237,1369,1298,,
47,mean_area:q80-100  mean_concave_points:q80-100  mean_concavity:q80-100,60,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,60,0.9403705077136653,60,,,60,0,1.0,0,0.0,0,0,3,q80-100,,q80-100,q80-100,,,,,,,,-0.925240719036947,,,0,0,685,820,747,,
48,mean_area:q80-100  mean_concave_points:q60-80  mean_concavity:q60-80,24,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,24,0.8575264022774187,24,,,24,0,1.0,0,0.0,0,0,3,q80-100,,q60-80,q60-80,,,,,,,,-1.1934830219531678,,,0,0,1125,1272,1197,,
49,mean_area:q00-20  mean_concave_points:q00-20  mean_concavity:q00-20,44,1.0,0.0,,,44,,,1.0,True,0.0,,,0,,0,0.9195800602362292,,0,0,,44,0.0,44,0,3,q00-20,,q00-20,q00-20,,,,,,,-0.8676583314350327,,,,0,0,887,786,812,,
50,mean_area:q20-40  mean_concave_points:q20-40  mean_concavity:q20-40,23,1.0,0.0,,,23,,,1.0,True,0.0,,,0,,0,0.8518148710847749,,0,0,,23,0.0,23,0,3,q20-40,,q20-40,q20-40,,,,,,,-0.5945083931411415,,,,0,0,1393,1290,1316,,
51,mean_area:q20-40  mean_concave_points:q00-20  mean_concavity:q00-20,22,1.0,0.0,,,22,,,1.0,True,0.0,,,0,,0,0.8456274871844254,,0,0,,22,0.0,22,0,3,q20-40,,q00-20,q00-20,,,,,,,-0.7737444114317118,,,,0,0,1433,1328,1354,,
52,mean_area:q40-60  mean_concave_points:q20-40  mean_concavity:q20-40,20,1.0,0.0,,0.0,19,,0.975,1.0,True,0.0,,,0,0.0,0,0.823533088192828,,1,0,0.0,20,0.0,19,1,3,q40-60,,q20-40,q20-40,,,,,,,-0.6556657394699476,-1.0,,,0,0,1096,1349,1375,,
53,mean_area:q60-80  mean_concave_points:q80-100  mean_concavity:q80-100,26,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,26,0.8677253955022459,26,,,26,0,1.0,0,0.0,0,0,3,q60-80,,q80-100,q80-100,,,,,,,,-0.9030068131615488,,,0,0,1001,1150,1069,,
54,mean_area:q60-80  mean_concave_points:q60-80  mean_concavity:q60-80,25,0.6,0.8461141122266493,0.9993410882351452,0.9,3,0.9,0.9876514728297041,0.9472550494736843,True,0.5,0.9,0.75,20,0.6830172859809209,18,0.14663279963467257,0.5006589117648548,20,2,0.9,5,-0.0207289049397212,5,2,3,q60-80,,q60-80,q60-80,,,,,,,-0.7887333217214506,-0.8798448116138795,-0.6826328286271615,-0.7862956326537782,0,0,936,838,1182,,
55,mean_area:q80-100  mean_concave_points:q80-100  mean_fractal_dimension:q00-20,20,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,20,0.8315665290169145,20,,,20,0,1.0,0,0.0,0,0,3,q80-100,,q80-100,,q00-20,,,,,,,-0.9564465677683354,,,0,0,1289,1472,1389,,
56,mean_area:q80-100  mean_concave_points:q80-100  mean_fractal_dimension:q40-60,24,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,24,0.8575264022774187,24,,,24,0,1.0,0,0.0,0,0,3,q80-100,,q80-100,,q40-60,,,,,,,-0.8663788973773175,,,0,0,1072,1225,1140,,
57,mean_area:q80-100  mean_concave_points:q60-80  mean_fractal_dimension:q00-20,20,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,20,0.8315665290169145,20,,,20,0,1.0,0,0.0,0,0,3,q80-100,,q60-80,,q00-20,,,,,,,-1.3516428095678,,,0,0,1326,1481,1394,,
58,mean_area:q00-20  mean_concave_points:q00-20  mean_fractal_dimension:q60-80,22,1.0,0.0,,,22,,,1.0,True,0.0,,,0,,0,0.8456274871844254,,0,0,,22,0.0,22,0,3,q00-20,,q00-20,,q60-80,,,,,,-1.0,,,,0,0,1440,1332,1354,,
59,mean_area:q80-100  mean_concave_points:q80-100  mean_perimeter:q80-100,76,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,76,0.952621246133547,76,,,76,0,1.0,0,0.0,0,0,3,q80-100,,q80-100,,,q80-100,,,,,,-0.9873216229421728,,,0,0,623,818,728,,
60,mean_area:q80-100  mean_concave_points:q60-80  mean_perimeter:q80-100,30,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,30,0.8842966917779725,30,,,30,0,1.0,0,0.0,0,0,3,q80-100,,q60-80,,,q80-100,,,,,,-1.0,,,0,0,891,1088,996,,
61,mean_area:q00-20  mean_concave_points:q20-40  mean_perimeter:q00-20,29,1.0,0.0,,,29,,,1.0,True,0.0,,,0,,0,0.8805551309302788,,0,0,,29,0.0,29,0,3,q00-20,,q20-40,,,q00-20,,,,,-0.9686754158899054,,,,0,0,1124,1014,1034,,
62,mean_area:q00-20  mean_concave_points:q00-20  mean_perimeter:q00-20,60,1.0,0.0,,,60,,,1.0,True,0.0,,,0,,0,0.9403705077136653,,0,0,,60,0.0,60,0,3,q00-20,,q00-20,,,q00-20,,,,,-1.0,,,,0,0,864,752,772,,
63,mean_area:q20-40  mean_concave_points:q40-60  mean_perimeter:q20-40,31,1.0,1.0,1.0,0.5,29,0.6666666666666666,0.987420882906321,1.0,True,0.695221787153807,1.0,0.75,1,0.01257911709367899,1,0.8805551309302788,0.2600090038649865,2,0,0.5,30,0.0,29,1,3,q20-40,,q40-60,,,q20-40,,,,,-0.9392512863560871,-1.0,-1.0,-1.0,0,0,587,800,949,,
64,mean_area:q20-40  mean_concave_points:q20-40  mean_perimeter:q20-40,39,1.0,0.0,,,39,,,1.0,True,0.0,,,0,,0,0.9097488990396657,,0,0,,39,0.0,39,0,3,q20-40,,q20-40,,,q20-40,,,,,-0.9533826776456715,,,,0,0,937,822,843,,
65,mean_area:q20-40  mean_concave_points:q00-20  mean_perimeter:q20-40,28,1.0,0.0,,,28,,,1.0,True,0.0,,,0,,0,0.8765638814997305,,0,0,,28,0.0,28,0,3,q20-40,,q00-20,,,q20-40,,,,,-0.9676654655133248,,,,0,0,1172,1055,1076,,
66,mean_area:q40-60  mean_concave_points:q40-60  mean_perimeter:q40-60,33,1.0,1.0,1.0,0.6666666666666666,30,0.8,0.9915962413403874,1.0,True,0.8032193289024988,1.0,0.8333333333333333,2,0.09429932405071303,2,0.8842966917779725,0.5066726692433243,3,0,0.6666666666666666,31,0.0,30,1,3,q40-60,,q40-60,,,q40-60,,,,,-0.9696243663758238,-1.0,-1.0,-1.0,0,0,528,727,905,,
67,mean_area:q40-60  mean_concave_points:q20-40  mean_perimeter:q40-60,30,1.0,0.0,,0.0,29,,0.975,1.0,True,0.0,,,0,0.0,0,0.8805551309302788,,1,0,0.0,30,0.0,29,1,3,q40-60,,q20-40,,,q40-60,,,,,-0.9686754158899054,-1.0,,,0,0,569,836,831,,
68,mean_area:q60-80  mean_concave_points:q80-100  mean_perimeter:q60-80,27,1.0,1.0,,1.0,1,1.0,1.0,1.0,True,1.0,1.0,1.0,26,0.8677253955022459,26,0.025000000000000022,,26,0,1.0,1,0.0,1,0,3,q60-80,,q80-100,,,q60-80,,,,,-1.0,-1.3077213850762854,-1.0,,0,0,911,969,1224,,
69,mean_area:q60-80  mean_concave_points:q60-80  mean_perimeter:q60-80,42,0.6153846153846154,0.7620167195202924,0.9047068687282713,0.896551724137931,8,0.8666666666666666,0.9781362631701468,0.8614206611098402,True,0.5382814881567385,0.8387096774193549,0.7559681697612732,31,0.7264848021076974,26,0.31577760291405943,0.6072294707942751,29,5,0.896551724137931,11,0.18691521213403942,13,3,3,q60-80,,q60-80,,,q60-80,,,,,-1.0,-1.00392721443333,-1.1228260750395587,-1.0220524889092408,0,0,501,413,759,,
70,mean_area:q60-80  mean_concave_points:q40-60  mean_perimeter:q60-80,28,0.9523809523809523,1.0,1.0,0.8571428571428571,20,0.8571428571428571,0.9963897031380992,0.9987951165516293,True,0.8095238095238095,0.8571428571428571,0.9047619047619048,7,0.42127680295680187,6,0.761840090063179,0.7571916589751044,7,1,0.8571428571428571,21,0.5275132549162831,21,1,3,q60-80,,q40-60,,,q60-80,,,,,-1.2905655281866104,-1.0,-0.9642835885464202,-0.9928369736322188,0,0,800,777,1157,,
71,mean_area:q80-100  mean_concave_points:q80-100  mean_radius:q80-100,75,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,75,0.9520049359447202,75,,,75,0,1.0,0,0.0,0,0,3,q80-100,,q80-100,,,,q80-100,,,,,-0.9746433113731454,,,0,0,687,889,789,,
72,mean_area:q80-100  mean_concave_points:q60-80  mean_radius:q80-100,32,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,32,0.8911188393205571,32,,,32,0,1.0,0,0.0,0,0,3,q80-100,,q60-80,,,,q80-100,,,,,-1.0,,,0,0,842,1046,919,,
73,mean_area:q00-20  mean_concave_points:q20-40  mean_radius:q00-20,29,1.0,0.0,,,29,,,1.0,True,0.0,,,0,,0,0.8805551309302788,,0,0,,29,0.0,29,0,3,q00-20,,q20-40,,,,q00-20,,,,-0.9686754158899054,,,,0,0,1116,974,962,,
74,mean_area:q00-20  mean_concave_points:q00-20  mean_radius:q00-20,60,1.0,0.0,,,60,,,1.0,True,0.0,,,0,,0,0.9403705077136653,,0,0,,60,0.0,60,0,3,q00-20,,q00-20,,,,q00-20,,,,-1.0,,,,0,0,844,700,687,,
75,mean_area:q20-40  mean_concave_points:q40-60  mean_radius:q20-40,32,1.0,1.0,1.0,0.5,30,0.6666666666666666,0.987420882906321,1.0,True,0.6956083436402525,1.0,0.75,1,0.01257911709367899,1,0.8842966917779725,0.2600090038649865,2,0,0.5,31,0.0,30,1,3,q20-40,,q40-60,,,,q20-40,,,,-1.0,-1.0,-1.0,-1.0,0,0,542,700,897,,
76,mean_area:q20-40  mean_concave_points:q20-40  mean_radius:q20-40,41,1.0,0.0,,,41,,,1.0,True,0.0,,,0,,0,0.9139561637059667,,0,0,,41,0.0,41,0,3,q20-40,,q20-40,,,,q20-40,,,,-0.9772211300879194,,,,0,0,891,724,732,,
77,mean_area:q20-40  mean_concave_points:q00-20  mean_radius:q20-40,28,1.0,0.0,,,28,,,1.0,True,0.0,,,0,,0,0.8765638814997305,,0,0,,28,0.0,28,0,3,q20-40,,q00-20,,,,q20-40,,,,-1.0,,,,0,0,1131,962,970,,
